member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_activitedescription,a_activitedisplay,a_activitekey,a_activitemap2cashflow,a_activitemap2model,a_activitemap2opmodel,a_activiteparentkey,a_activitesorting,a_activitemap2metric
629,pnl_00206,PNL_00206,Pénalités liées au dépassement de capacités sortie,64904,false,Pénalités liées au dépassement de capacités sortie,,PNL_00206,,,OpMP_ATR,PNL_ATRAutresRecettes,C112-004,OpxY_ChiffreAffaireInp
474,pnl_00019,PNL_00019,Pénalités liées au dépassement de capacités entrée,64904,false,Pénalités liées au dépassement de capacités entrée,,PNL_00019,,,OpMP_ATR,PNL_ATRAutresRecettes,C112-003,OpxY_ChiffreAffaireInp
662,pnl_00207,PNL_00207,Achat Gaz Powernext déséqu. Expéditeurs,64904,false,Achat Gaz Powernext déséqu. Expéditeurs,,PNL_00207,,,OpMP_TRCustomersBalance,PNL_AchatVenteGazEquilibrage,C35-001,OpxY_ChiffreAffaireInp
663,pnl_00208,PNL_00208,Vente Gaz Powernext désequi. Expéditeurs,64904,false,Vente Gaz Powernext désequi. Expéditeurs,,PNL_00208,,,OpMP_TRCustomersBalance,PNL_AchatVenteGazEquilibrage,C35-003,OpxY_ChiffreAffaireInp
171,pnl_00036,PNL_00036,Vente Gaz aux expéditeurs TR,64904,false,Vente Gaz aux expéditeurs TR,,PNL_00036,,,OpMP_TRCustomersBalance,PNL_AchatVenteGazEquilibrage,C35-003,OpxY_ChiffreAffaireInp
177,pnl_00034,PNL_00034,Achat Gaz aux expéditeurs,64904,false,Achat Gaz aux expéditeurs,,PNL_00034,,,OpMP_TRCustomersBalance,PNL_AchatVenteGazEquilibrage,C35-001,OpxY_ChiffreAffaireInp
402,cfs_00015,CFS_00015,Var. Social security agencies,64904,false,Var. Social security agencies,,CFS_00015,BSH_00011,-,,CFS_NonTradeWorkingCapitalVariation,CFS15200,
401,cfs_00016,CFS_00016,Var. VAT,64904,false,Var. VAT,,CFS_00016,BSH_00013,-,,CFS_NonTradeWorkingCapitalVariation,CFS15300,
100,bsh_00010,BSH_00010,Personnel,64904,false,Personnel,,BSH_00010,CFS_00014,,,BSH_NonTradeWorkingCapital,BS16-001,
97,bsh_00011,BSH_00011,Social security agencies,64904,false,Social security agencies,,BSH_00011,CFS_00015,,,BSH_NonTradeWorkingCapital,BS16-002,
80,cfs_00046,CFS_00046,Debt issuance,64904,false,Debt issuance,,CFS_00046,BSH_00018,-,,CFS_IncreaseDecreaseInFinancialDebt,CFS41100,
78,cfs_00047,CFS_00047,Debt repayment,64904,false,Debt repayment,,CFS_00047,BSH_00018,-,,CFS_IncreaseDecreaseInFinancialDebt,CFS41200,
77,cfs_00048,CFS_00048,RCF drawdown,64904,false,RCF drawdown,,CFS_00048,BSH_00018,-,,CFS_IncreaseDecreaseInFinancialDebt,CFS41300,
49,opms_pbt,OpMS_PBT,PBT,64904,false,PBT,,OpMS_PBT,,,,OpMP,OpMP_Tax1,
95,bsh_00013,BSH_00013,VAT,64904,false,VAT,,BSH_00013,CFS_00016,,,BSH_NonTradeWorkingCapital,BS16-004,
96,bsh_00014,BSH_00014,Other,64904,false,Other,,BSH_00014,CFS_00017,,,BSH_NonTradeWorkingCapital,BS16-005,
1289,pnl_00222,PNL_00222,Revenu PITPE,64904,false,Revenu PITPE,,PNL_00222,,,OpMP_ATR,PNL_ATRCapacitésHorsITC,C1111-0101,OpxY_ChiffreAffaireInp
404,cfs_00013,CFS_00013,Var. Inventory,64904,false,Var. Inventory,,CFS_00013,BSH_00007,-,,CFS_TradeWorkingCapitalVariation,CFS14300,
105,bsh_00006,BSH_00006,Financing fee,64904,false,Financing fee,,BSH_00006,,,,BSH_NetAssets,BS14,
403,cfs_00014,CFS_00014,Var. Personnel,64904,false,Var. Personnel,,CFS_00014,BSH_00010,-,,CFS_NonTradeWorkingCapitalVariation,CFS15100,
103,bsh_00008,BSH_00008,Trade receivables,64904,false,Trade receivables,,BSH_00008,CFS_00011,,,BSH_TradeWorkingCapital,BS15-002,
104,bsh_00009,BSH_00009,Trade payables,64904,false,Trade payables,,BSH_00009,CFS_00012,,,BSH_TradeWorkingCapital,BS15-003,
280,pnl_00176,PNL_00176,Produits financiers Groupe,64904,false,Produits financiers Groupe,,PNL_00176,,,OpMP_FinancialResult,PNL_ProduitsEtChargesFinancieres,U1-001,OpxY_UEBITDA
421,cfs_00006,CFS_00006,Current tax,64904,false,Current tax,,CFS_00006,BSH_00012,-,,CFS_TaxExpenseIncome,CFS13310,
432,cfs_00007,CFS_00007,Deferred tax,64904,false,Deferred tax,,CFS_00007,BSH_00017,-,,CFS_TaxExpenseIncome,CFS13320,
429,cfs_00009,CFS_00009,Tax paid CIT,64904,false,Tax paid CIT,,CFS_00009,BSH_00012,-,,CFS_TaxPaid,CFS13510,
409,cfs_00010,CFS_00010,Tax paid on dividends,64904,false,Tax paid on dividends,,CFS_00010,BSH_00012,-,,CFS_TaxPaid,CFS13520,
373,cfs_00040,CFS_00040,Maximum dividend with distribution limits,64904,false,Maximum dividend with distribution limits,,CFS_00040,,,,CFS_FinalDividendPaid,CFS31112,
426,opmb,OpMB,Balance Sheet,64904,false,Balance Sheet,,OpMB,,,,OpM,OpM3,
375,cfs_00038,CFS_00038,Equity investments / divestments,64904,false,Equity investments / divestments,,CFS_00038,BSH_00003,-,,CFS_FreeCashFlow,CFS22000,
505,pnl_00129,PNL_00129,TF,64904,false,TF,,PNL_00129,,,OpMP_BusinessTaxes,PNL_TaxesDAffaires,O5-004,OpxY_FraisExploitationInp
107,bsh_00007,BSH_00007,Inventory,64904,false,Inventory,,BSH_00007,CFS_00013,,,BSH_TradeWorkingCapital,BS15-001,
169,pnl_00037,PNL_00037,Ventes gaz,64904,false,Ventes gaz,,PNL_00037,,,OpMP_TRCustomersBalance,PNL_AchatVenteGazEquilibrage,C35-004,OpxY_ChiffreAffaireInp
