member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_metricskey,a_metricsparentkey,a_metricsdescription,a_metricssorting,a_metricssequence
1,metric___root___,METRIC___ROOT___,METRIC___ROOT___,73529,false,METRIC___ROOT___,METRIC___ROOT___,METRIC___ROOT___,METRIC___ROOT___,METRIC___ROOT___
2,kpi_capaciteendettement,KPI_CapaciteEndettement,Capacité d'endettement,73529,false,KPI_CapaciteEndettement,KPI,Capacité d'endettement,KPI003,
4,ray_crcpdeliberations,RaY_CRCPDeliberations,***Délibérations,73529,false,RaY_CRCPDeliberations,RA_CRCP,***Délibérations,RA_CRCP_01_Base,
12,ra_crcp,RA_CRCP,CRCP Metrics (Abstract),73529,false,RA_CRCP,RA,CRCP Metrics (Abstract),,
13,ray_ccnpostretrait,RaY_CCNpostRetrait,***CCN (Post retraitements tarifaires),73529,false,RaY_CCNpostRetrait,RA_CCN,***CCN (Post retraitements tarifaires),,
781,rep_y,REP_Y,Reporting Annuel (Abstract),73529,false,REP_Y,REP,Reporting Annuel (Abstract),,
59,opxy_fraisstructure,OpxY_FraisStructure,Frais de Structure après RAC,73529,false,OpxY_FraisStructure,FIN,Frais de Structure après RAC,Action=O12RAC1 Panel=OA12 Dim=D,OPXb RAC12.5
546,opxm_input,OpxM_Input,OpeX TotalY=0 (Saisie) [M],73529,false,OpxM_Input,FIN,OpeX TotalY=0 (Saisie) [M],,OPXm O9
547,opxk_monthkez,OpxK_MonthKez,Clé Mensu UEBIT,73529,false,OpxK_MonthKez,FIN,Clé Mensu UEBIT,,OPXm O0a
550,opxm_fraisstructurecns,OpxM_FraisStructureCnS,Frais de Structure après RAC {M},73529,false,OpxM_FraisStructureCnS,FIN,Frais de Structure après RAC {M},,OPXm O5
552,opxm_fraisexploitationcns,OpxM_FraisExploitationCnS,Frais d'Exploitation {M},73529,false,OpxM_FraisExploitationCnS,FIN,Frais d'Exploitation {M},,OPXm O4
42,tax_gtaxdeductibleinterest,Tax_GTaxDeductibleInterest,TaxG deductible interest,73529,false,Tax_GTaxDeductibleInterest,Tax_GTaxAtEntity,TaxG deductible interest,Sort=Tax1 Panel=TaxModel1,OPXd TaxG1.9
44,kpi_cpx_bar,KPI_Cpx_BAR,Contribution CAPEX à la BAR,73529,false,KPI_Cpx_BAR,KPI,Contribution CAPEX à la BAR,KPI019,
555,opxm_energiecns,OpxM_EnergieCnS,Energie {M},73529,false,OpxM_EnergieCnS,FIN,Energie {M},,OPXm O2
556,opxm_uebitdacns,OpxM_UEBITDACnS,Under EBITDA {M},73529,false,OpxM_UEBITDACnS,FIN,Under EBITDA {M},,OPXm O6
