member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_mesdescription,a_mesdisplayfirst,a_meskey,a_mesmaptemps,a_mesparentkey,a_messorting
27,2019fy,2019FY,2019,65126,false,2019,,2019FY,2019FY,ALL_MES,2019
62,2018fy,2018FY,2018,65126,false,2018,,2018FY,2018FY,ALL_MES,2018
80,2029fy,2029FY,2029,65126,false,2029,,2029FY,2029FY,ALL_MES,2029
101,2017fy,2017FY,2017,65126,false,2017,,2017FY,2017FY,ALL_MES,2017
121,2028fy,2028FY,2028,65126,false,2028,,2028FY,2028FY,ALL_MES,2028
138,2039fy,2039FY,2039,65126,false,2039,,2039FY,2039FY,ALL_MES,2039
139,2016fy,2016FY,2016,65126,false,2016,,2016FY,2016FY,ALL_MES,2016
156,2027fy,2027FY,2027,65126,false,2027,,2027FY,2027FY,ALL_MES,2027
172,2015fy,2015FY,2015,65126,false,2015,,2015FY,2015FY,ALL_MES,2015
173,2038fy,2038FY,2038,65126,false,2038,,2038FY,2038FY,ALL_MES,2038
194,2049fy,2049FY,2049,65126,false,2049,,2049FY,2049FY,ALL_MES,2049
196,2026fy,2026FY,2026,65126,false,2026,,2026FY,2026FY,ALL_MES,2026
212,2014fy,2014FY,2014,65126,false,2014,,2014FY,2014FY,ALL_MES,2014
215,2037fy,2037FY,2037,65126,false,2037,,2037FY,2037FY,ALL_MES,2037
217,all_mes,ALL_MES,Mises En Service,65126,false,Mises En Service,,ALL_MES,,MES_Root,
233,2025fy,2025FY,2025,65126,false,2025,,2025FY,2025FY,ALL_MES,2025
235,2048fy,2048FY,2048,65126,false,2048,,2048FY,2048FY,ALL_MES,2048
250,2036fy,2036FY,2036,65126,false,2036,,2036FY,2036FY,ALL_MES,2036
253,2013fy,2013FY,2013,65126,false,2013,,2013FY,2013FY,ALL_MES,2013
271,2047fy,2047FY,2047,65126,false,2047,,2047FY,2047FY,ALL_MES,2047
273,2024fy,2024FY,2024,65126,false,2024,,2024FY,2024FY,ALL_MES,2024
290,2035fy,2035FY,2035,65126,false,2035,,2035FY,2035FY,ALL_MES,2035
308,2023fy,2023FY,2023,65126,false,2023,,2023FY,2023FY,ALL_MES,2023
309,2046fy,2046FY,2046,65126,false,2046,,2046FY,2046FY,ALL_MES,2046
325,2034fy,2034FY,2034,65126,false,2034,,2034FY,2034FY,ALL_MES,2034
327,2057fy,2057FY,2057,65126,false,2057,,2057FY,2057FY,ALL_MES,2057
349,2045fy,2045FY,2045,65126,false,2045,,2045FY,2045FY,ALL_MES,2045
351,2022fy,2022FY,2022,65126,false,2022,,2022FY,2022FY,ALL_MES,2022
365,2056fy,2056FY,2056,65126,false,2056,,2056FY,2056FY,ALL_MES,2056
367,2033fy,2033FY,2033,65126,false,2033,,2033FY,2033FY,ALL_MES,2033
382,2021fy,2021FY,2021,65126,false,2021,,2021FY,2021FY,ALL_MES,2021
383,2044fy,2044FY,2044,65126,false,2044,,2044FY,2044FY,ALL_MES,2044
401,2032fy,2032FY,2032,65126,false,2032,,2032FY,2032FY,ALL_MES,2032
402,2055fy,2055FY,2055,65126,false,2055,,2055FY,2055FY,ALL_MES,2055
404,2020fy,2020FY,2020,65126,false,2020,,2020FY,2020FY,ALL_MES,2020
412,mes_root,MES_Root,MES (Root),65126,false,MES (Root),,MES_Root,,MES_Root,
425,2043fy,2043FY,2043,65126,false,2043,,2043FY,2043FY,ALL_MES,2043
426,2031fy,2031FY,2031,65126,false,2031,,2031FY,2031FY,ALL_MES,2031
441,2054fy,2054FY,2054,65126,false,2054,,2054FY,2054FY,ALL_MES,2054
442,2042fy,2042FY,2042,65126,false,2042,,2042FY,2042FY,ALL_MES,2042
464,2030fy,2030FY,2030,65126,false,2030,,2030FY,2030FY,ALL_MES,2030
466,2053fy,2053FY,2053,65126,false,2053,,2053FY,2053FY,ALL_MES,2053
482,2041fy,2041FY,2041,65126,false,2041,,2041FY,2041FY,ALL_MES,2041
501,2052fy,2052FY,2052,65126,false,2052,,2052FY,2052FY,ALL_MES,2052
518,2040fy,2040FY,2040,65126,false,2040,,2040FY,2040FY,ALL_MES,2040
542,2051fy,2051FY,2051,65126,false,2051,,2051FY,2051FY,ALL_MES,2051
574,2050fy,2050FY,2050,65126,false,2050,,2050FY,2050FY,ALL_MES,2050
1,20430800,20430800,Aou-2043,65126,false,Aou-2043,,20430800,,2043FY,20430800
2,20210500,20210500,Mai-2021,65126,false,Mai-2021,,20210500,,2021FY,20210500
3,20401000,20401000,Oct-2040,65126,false,Oct-2040,,20401000,,2040FY,20401000
