member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_naturedescription,a_naturekey,a_natureparentkey,a_naturesorting,a_natureparentkeyms,a_naturemap2planning,a_naturemap2activite
1092,07ms,07MS,07.Participation et intéressement,65278,false,07.Participation et intéressement,07MS,,07,OP2,,
1095,05ms,05MS,05.Modèle social entreprise,65278,false,05.Modèle social entreprise,05MS,,05,OP2,,
1099,03ms,03MS,03.Epargne salariale,65278,false,03.Epargne salariale,03MS,,03,OP2,,
1101,01ms,01MS,01.Rémunérations du personnel,65278,false,01.Rémunérations du personnel,01MS,,01,OP2,,
1114,08ms,08MS,"08.Impôts, taxes et versements assimilés sur rémunération",65278,false,"08.Impôts, taxes et versements assimilés sur rémunération",08MS,,08,OP2,,
1119,06ms,06MS,06.Financement CE,65278,false,06.Financement CE,06MS,,06,OP2,,
1121,04ms,04MS,04.Protection sociale complémentaire,65278,false,04.Protection sociale complémentaire,04MS,,04,OP2,,
1125,02ms,02MS,02.Charges sociales obligatoires,65278,false,02.Charges sociales obligatoires,02MS,,02,OP2,,
1408,455112,455112,455112 CC Loca Terega,65278,false,455112 CC Loca Terega,455112,4,455112,4,,BSH_00014
1409,455113,455113,455113 CC Metha Infra B,65278,false,455113 CC Metha Infra B,455113,4,455113,4,,BSH_00014
1375,999ms,999MS,99.Natures non affectées,65278,false,99.Natures non affectées,999MS,,99,OP2,,
1177,520100,520100,520100 Instrument de trésorerie,65278,false,520100 Instrument de trésorerie,520100,5,520100,5,,BSH_00006
1124,920ms,920MS,9.2. Personnel détaché,65278,false,9.2. Personnel détaché,920MS,,920MS,09MS,,
1442,321300,321300,321300 Quotas de gaz à effet de serre,65278,false,321300 Quotas de gaz à effet de serre,321300,3,321300,3,,BSH_00007
1085,09ms,09MS,09.Personnel extérieur à l'entreprise,65278,false,09.Personnel extérieur à l'entreprise,09MS,,09,OP2,,
735,106411,106411,106411 Réserves spéciales PVLT 15%,65278,false,106411 Réserves spéciales PVLT 15%,106411,10,106411,10,,BSH_00024
736,106412,106412,106412 Réserves spéciales PVLT 25%,65278,false,106412 Réserves spéciales PVLT 25%,106412,10,106412,10,,BSH_00024
737,106413,106413,106413 Réserves spéciales PVLT 19%,65278,false,106413 Réserves spéciales PVLT 19%,106413,10,106413,10,,BSH_00024
738,106414,106414,106414 Réserves spéciales PVLT 18%,65278,false,106414 Réserves spéciales PVLT 18%,106414,10,106414,10,,BSH_00024
739,106800,106800,106800 Autres réserves,65278,false,106800 Autres réserves,106800,10,106800,10,,BSH_00024
740,110000,110000,110000 Report à nouveau-solde créditeur,65278,false,110000 Report à nouveau-solde créditeur,110000,11,110000,11,,BSH_00025
742,129500,129500,129500 Acpte s/dividendes répartis en instance d’affectation,65278,false,129500 Acpte s/dividendes répartis en instance d’affectation,129500,12,129500,12,,BSH_00027
750,145000,145000,145000 Amortissements dérogatoires,65278,false,145000 Amortissements dérogatoires,145000,14,145000,14,,BSH_00029
754,153201,153201,153201 Cessation Activité ex Total SA,65278,false,153201 Cessation Activité ex Total SA,153201,15,153201,15,,BSH_00015
755,153202,153202,153202 Cessation Activité ex ELF EP,65278,false,153202 Cessation Activité ex ELF EP,153202,15,153202,15,,BSH_00015
761,158200,158200,158200 Médaille travail TIGF,65278,false,158200 Médaille travail TIGF,158200,15,158200,15,,BSH_00015
762,158201,158201,158201 Médaille travail ex TOTAL SA,65278,false,158201 Médaille travail ex TOTAL SA,158201,15,158201,15,,BSH_00015
763,158202,158202,158202 Médaille travail ex Elf EP,65278,false,158202 Médaille travail ex Elf EP,158202,15,158202,15,,BSH_00015
