member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_phasedescription,a_phasekey,a_phaseparentkey,a_phasesorting
1,bdg,BDG,Working Phases (Abstract),64901,false,Working Phases (Abstract),BDG,Phase_Root,P
5,fxx,FXX,Phases Futures NonComparables (Abstract),64901,false,Phases Futures NonComparables (Abstract),FXX,UXX,Ub
6,corpplan,CorpPlan,PLT,64901,false,PLT,CorpPlan,REP,Rc
9,uat,UAT,UATs (Abstract),64901,false,UATs (Abstract),UAT,UXX,Ux
10,pxx,PXX,Phases Histo Non Comparables (Abstract),64901,false,Phases Histo Non Comparables (Abstract),PXX,UXX,Ua
12,uxx,UXX,Utility (Abstract),64901,false,Utility (Abstract),UXX,Phase_Root,U
15,budget,Budget,Budget,64901,false,Budget,Budget,REP,Rb
1250,pdt_2023_h00_v02,PDT_2023_H00_V02,Dossier ATRT8 & ATS3 V2,64901,false,Dossier ATRT8 & ATS3 V2,PDT_2023_H00_V02,FXX,PDT_2023_H00_V02|2023FY
18,tariff,Tariff,Tarif,64901,false,Tarif,Tariff,REP,Re
24,forecast,Forecast,PC,64901,false,PC,Forecast,REP,Rd
27,rep,REP,Reporting Phases (Abstract),64901,false,Reporting Phases (Abstract),REP,Phase_Root,R
30,bxx,BXX,Phases Histo Backup (Abstract),64901,false,Phases Histo Backup (Abstract),BXX,UXX,B0
22,pc2019_m03_v01,PC2019_M03_V01,PC2019_M03_V01,64901,false,PC2019_M03_V01,PC2019_M03_V01,PXX,PC2019_M03_V01|2019FY
1283,plt2024_h00_b01,PLT2024_H00_B01,BI/PLT 2024 H00 B01 (Back-up 20231011),64901,false,BI/PLT 2024 H00 B01 (Back-up 20231011),PLT2024_H00_B01,BXX,PLT2024_H00_V01|2024FY
1415,bud_2024_h00_v00,BUD_2024_H00_V00,BU Demandé 2024,64901,false,BU Demandé 2024,BUD_2024_H00_V00,BDG,BUD_2024_H00_V00|2024FY
62,bi2019_ca,BI2019_CA,BI 2019,64901,false,BI 2019,BI2019_CA,Budget,BI2019_CA|2019FY
63,bi2020_ca,BI2020_CA,BI 2020,64901,false,BI 2020,BI2020_CA,Budget,BI2020_CA|2020FY
