member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_typedecoutscatcre,a_typedecoutscatpnl,a_typedecoutsdescription,a_typedecoutskey,a_typedecoutsparentkey,a_typedecoutssorting,a_typedecoutssap
8,cinoneligible,CINonEligible,Non Eligible CAPI,64911,false,,,Non Eligible CAPI,CINonEligible,CICategImmo,CINonEligible,
16,cieligible,CIEligible,Eligible CAPI,64911,false,,,Eligible CAPI,CIEligible,CICategImmo,CIEligible,
27,ci00015,CI00015,AMENAG. INSTALLATIONS EVAL,64911,false,RCI6,Corporel,AMENAG. INSTALLATIONS EVAL,CI00015,CIEligible,CI00015,
29,ci00013,CI00013,BATIMENTS ADMINISTRATIF EVAL,64911,false,RCI5,Corporel,BATIMENTS ADMINISTRATIF EVAL,CI00013,CIEligible,CI00013,
38,ci00031,CI00031,MATERIEL DE BUREAU,64911,false,RCI6,Corporel,MATERIEL DE BUREAU,CI00031,CINonEligible,CI00031**,
49,corporel,Corporel,Corporel,64911,false,,CICategImmo,Corporel,Corporel,,Corporel,
50,incorporel,Incorporel,Incorporel,64911,false,,CICategImmo,Incorporel,Incorporel,,Incorporel,
146,rci1,RCI1,RCI1,64911,false,CICategImmo,,RCI1,RCI1,,RCI1,
147,rci2,RCI2,RCI2,64911,false,CICategImmo,,RCI2,RCI2,,RCI2,
148,rci3,RCI3,RCI3,64911,false,CICategImmo,,RCI3,RCI3,,RCI3,
149,rci4,RCI4,RCI4,64911,false,CICategImmo,,RCI4,RCI4,,RCI4,
150,rci5,RCI5,RCI5,64911,false,CICategImmo,,RCI5,RCI5,,RCI5,
151,rci6,RCI6,RCI6,64911,false,CICategImmo,,RCI6,RCI6,,RCI6,
152,rci7,RCI7,RCI7,64911,false,CICategImmo,,RCI7,RCI7,,RCI7,
153,rci8,RCI8,RCI8,64911,false,CICategImmo,,RCI8,RCI8,,RCI8,
154,rci9,RCI9,RCI9,64911,false,CICategImmo,,RCI9,RCI9,,RCI9,
155,rci11,RCI11,RCI11,64911,false,CICategImmo,,RCI11,RCI11,,RCI11,
156,rcig,RCIG,RCIG,64911,false,CICategImmo,,RCIG,RCIG,,RCIG,
157,rcix,RCIX,RCIX,64911,false,CICategImmo,,RCIX,RCIX,,RCIX,
158,rcinr,RCINR,RCI Non Régulé,64911,false,CICategImmo,,RCI Non Régulé,RCINR,,RCINR,
42,na,na,CA,64911,false,TypeDeCouts,TypeDeCouts,CA,na,TypeDeCouts,na,
5,typedecouts_root,TypeDeCouts_Root,Type de Couts (Root),64911,false,TypeDeCouts_Root,TypeDeCouts_Root,Type de Couts (Root),TypeDeCouts_Root,TypeDeCouts_Root,TypeDeCouts_Root,
17,cicategimmo,CICategImmo,Total Catégorie Immo,64911,false,capex,capex,Total Catégorie Immo,CICategImmo,capex,CICategImmo,
44,capex_default,capex_default,_CapEx (Default),64911,false,capex,capex,_CapEx (Default),capex_default,capex,capex_default,
25,typedecouts,TypeDeCouts,CA - CAPEX OPEX,64911,false,TypeDeCouts_Root,TypeDeCouts_Root,CA - CAPEX OPEX,TypeDeCouts,TypeDeCouts_Root,TypeDeCouts,
39,ci00010,CI00010,INFRASTRUCTURES ROUTES,64911,false,RCI6,Corporel,INFRASTRUCTURES ROUTES,CI00010,CIEligible,CI00010**,
82,ci00039,CI00039,UNITE AUTOPROD ENERGIE R,64911,false,RCI11,Corporel,UNITE AUTOPROD ENERGIE R,CI00039,CIEligible,CI00039**,
1,ci00004,CI00004,FRAIS DE R&I,64911,false,RCIX,Incorporel,FRAIS DE R&I,CI00004,CIEligible,CI00004,Z203100
18,totex,totex,Total CAPEX OPEX,64911,false,TypeDeCouts,TypeDeCouts,Total CAPEX OPEX,totex,TypeDeCouts,totex,
35,capex,capex,CAPEX,64911,false,totex,totex,CAPEX,capex,totex,capex,
26,opex,opex,OPEX,64911,false,totex,totex,OPEX,opex,totex,opex,
2,ci00026,CI00026,AUTRES INSTALL D'EXPLOITATION,64911,false,RCI4,Corporel,AUTRES INSTALL D'EXPLOITATION,CI00026,CIEligible,CI00026**,
7,ci00024,CI00024,CANALISATIONS PRINCIPALES SITE,64911,false,RCI1,Corporel,CANALISATIONS PRINCIPALES SITE,CI00024,CIEligible,CI00024**,
3,ci00027,CI00027,AUTRES INSTALL D'EXPLOITATION EX,64911,false,RCI4,Corporel,AUTRES INSTALL D'EXPLOITATION EX,CI00027,CIEligible,CI00027,Z215377
4,ci00005,CI00005,TERRAINS SECTIONNEMENT,64911,false,RCI8,Corporel,TERRAINS SECTIONNEMENT,CI00005,CINonEligible,CI00005,Z211100
6,ci00002,CI00002,LOGICIELS,64911,false,RCI7,Incorporel,LOGICIELS,CI00002,CIEligible,CI00002,Z205800
9,ci00003,CI00003,DROITS DE TRANSIT,64911,false,RCI1,Incorporel,DROITS DE TRANSIT,CI00003,CIEligible,CI00003**,Z208101
10,ci00025,CI00025,ST.COMPRESSION-RACC.SECT.,64911,false,RCI3,Corporel,ST.COMPRESSION-RACC.SECT.,CI00025,CIEligible,CI00025,Z215371
11,ci00022,CI00022,POSTES DE COMPTAGE,64911,false,RCI2,Corporel,POSTES DE COMPTAGE,CI00022,CIEligible,CI00022,Z21536A
12,ci00001,CI00001,BREVETS,64911,false,RCI7,Incorporel,BREVETS,CI00001,CIEligible,CI00001,Z205201
13,ci00023,CI00023,BRANCHEMENTS & COMPTAGES,64911,false,RCI2,Corporel,BRANCHEMENTS & COMPTAGES,CI00023,CIEligible,CI00023,Z21536B
14,ci00020,CI00020,CANALISATIONS PRINCIPALES,64911,false,RCI1,Corporel,CANALISATIONS PRINCIPALES,CI00020,CIEligible,CI00020,Z215361
15,ci00021,CI00021,BRANCHEMENTS,64911,false,RCI1,Corporel,BRANCHEMENTS,CI00021,CIEligible,CI00021,Z215366
